# unit|layout|first node|second node|third node|caption|additional worked prose (optional)
M01:07|Flow|Supported interpretation|Verified executable behavior|Authorised operational decision|Responsibility accompanies the rule through review and use.|
P-01-problem:02|Branch|Financial threshold satisfied|Category knowledge and experience|Objectives, consent and monitoring|Wealth is one part of the selected SPI assessment.|A synthetic client with qualifying assets can satisfy the financial condition while having conservative investment objectives. The financial result remains true; the full assessment must still address the exclusion and the other conditions. Giving those two results different names prevents a wealth test from becoming a trade permission.
P-01b-complete-dry-run:01|Flow|Client, category and transaction|Dated evidence for each condition|Selected streamlining assessment|The worked change starts from a particular transaction and its evidence.|
P-01b-complete-dry-run:02|Branch|Circular 23EC35|Annex 1: substantive conditions|Annex 2: interpretive FAQs|The main circular's attachments are part of the reading task.|
P-01b-complete-dry-run:03|Compare|Legal owner defines portfolio|Data owner supplies dated amount|Engineer preserves exact units|Different owners answer different questions about the same input.|
P-01b-complete-dry-run:04|Branch|Qualifying financial condition|Portfolio meets HK$40m|Net assets meet HK$80m|Either reviewed wealth route can establish this subcondition.|At exactly HK$40 million of qualifying portfolio and zero qualifying net assets, the inclusive portfolio route succeeds. Reducing only that portfolio by one cent makes both routes false. Replacing the alternative with a conjunction would incorrectly reject the first case.
P-01b-complete-dry-run:05|Flow|Reviewed RuleIR candidate|Deterministic compiler and tests|Java library called by host|Generating a candidate precedes approval of its use.|
P-01b-complete-dry-run:06|Flow|Active consent generation|Recorded withdrawal|Later assessment uses withdrawn state|Withdrawal changes later behavior while preserving earlier decisions.|
M02:00|Flow|Retained 23EC46 bytes|Declared distributor and fund scope|Paragraph-10 question|A source packet and an activity jointly define the question.|
M02:01|Branch|Surrounding circular|Provisions shaping context|Selected operative paragraph|Isolating a formula must not isolate it from its qualifications.|
M02:02|Flow|Benefit and product relationship|Gift and discount classifications|Scoped prohibition condition|The six inputs carry separate interpretive commitments.|A payment can be linked to the type of fund even when it is not linked to one named fund. Treating those two routes as one input would conceal the omission detected by the product-type case.
M02:03|Compare|Gift with product linkage|Same facts, discount exception|Same facts, no linkage|Paired cases isolate the condition that changes the answer.|
M02:04|Flow|Six inputs|Three abstract values each|729 assignments|The enumeration covers a finite abstract input space.|
M02:05|Flow|Remove the type-link route|Replay a case using only that route|Changed outcome exposes omission|A meaningful mutation changes a consequential interpretation.|
M02:06|Branch|Cashback on a fund purchase|Reduction of an identified fee|Separate promotional benefit|A cash payment's label does not establish the discount exception.|Suppose a client pays a fee of HK$100 and receives HK$100 later. Amount equality alone does not establish that the payment reduces that fee. The contractual relationship, purpose and applicable definition still matter. Those are evidence questions that another truth-table run cannot settle.
M02:07|Cycle|Retain source and alternatives|Investigate a decisive difference|Revise or retain uncertainty|An investigation can finish with a useful unresolved result.|
M02:08|Flow|Author's frozen scenarios|Independent source judgments|Adjudicated comparison|Freezing an oracle and making it independent are different steps.|
M03:00|Compare|Does the reading fit the source?|Does Java preserve the rule?|Do bank inputs establish its facts?|Correctness has several distinct targets.|
P-03-product:05|Flow|Controlled statement|Defined RuleIR meaning|Java meaning on the same inputs|Preservation compares specified meanings across representations.|
M03:01|Branch|Offer contains two benefits|Every benefit satisfies a condition|At least one benefit satisfies it|Changing the quantifier changes which offers satisfy the rule.|For two benefits, let the condition hold for the fee discount and fail for the voucher. An existential statement is true because one benefit qualifies. A universal statement is false because the voucher does not. No compiler error is needed for those readings to disagree.
M03:02|Compare|Condition necessary for treatment|Condition sufficient for one result|Permission to complete the transaction|Logical direction determines what a satisfied condition establishes.|
M03:03|Flow|Accepted assumptions|Stated mathematical implication|Conclusion within that domain|A proof exposes the assumptions under which its conclusion follows.|
P-01a-language-lesson:01|Flow|Ordinary sentence|Declared inputs and operators|Reproducible calculation|An executable meaning requires decisions about inputs and operations.|
M03:04|Flow|Money input in HK cents|Inclusive integer comparison|Boolean result with evidence|Types give an expression a defined interpretation.|
P-03-product:03|Compare|Unknown portfolio, HK$70m net assets|Unknown portfolio, HK$80m net assets|Different information, different result|A sufficient known route can settle an alternative despite missing information.|The first case stays unknown because the missing portfolio could change the answer. The second establishes the financial condition through the inclusive net-asset route. Neither case treats missing portfolio evidence as zero.
M03:05|Branch|Unknown proposition p|p OR true is true|p OR NOT p remains unknown|Three-valued evaluation follows information rules, not every classical identity.|
M03:06|Compare|UNKNOWN: insufficient evidence|CONFLICT: admissible records disagree|OUT OF SCOPE: different activity|Different reasons for withholding a Boolean answer require different remedies.|
M03:07|Flow|Controlled sentence|One declared grammar|One specified translation|Readability and precise translation meet in a restricted language.|
M03:08|Flow|Literal and fact cases|Operator preservation step|Composition over finite syntax|The preservation argument follows the structure of the expression.|For an alternative of two comparisons, first establish that each comparison has the same value in both implementations. Then establish that both use the same unknown-value rule for the alternative. This local argument still needs separate treatment of errors, scope and observable traces.
M03:09|Flow|Satisfiable input domain|Search for different outcomes|Replay the concrete witness|A counterexample concerns the domain actually encoded.|
P-03-product:06|Compare|Known flag is false|Stored numeric slot is zero|Numeric comparison is unavailable|Knownness prevents a placeholder from becoming evidence.|
P-01a-language-lesson:05|Flow|Two proposed expressions|Solver searches permitted inputs|Reviewer sees a distinguishing case|A solver turns a formal disagreement into a concrete example.|
M03:10|Flow|Initial state satisfies invariant|Every permitted transition preserves it|All reachable states satisfy it|A workflow invariant needs an initial case and a transition argument.|
M03:11|Flow|Duty activated|Performance before deadline|Satisfied, open or breached|A duty concerns events and observation completeness.|
M03:12|Compare|Source support|Execution fidelity|Authority to deploy|Each part of assurance needs its own evidence.|
M04:00|Branch|Which question is being answered?|Decision with exceptions|State, resources and duties|Different legal questions call for different computational languages.|
P-02-literature:01|Flow|Primary technical method|Assumptions and evaluation|Scoped borrowing for LegalMath|Literature review must inspect the mechanism being borrowed.|
M04:01|Branch|General rule applies|Exception defeats its conclusion|No exception established|Defeasible reasoning makes the exception relationship explicit.|A general fee rule and a special discount exception cannot be combined by treating every sentence as an unconditional implication. The formalization must state when the exception applies and what happens when its applicability is unknown.
P-02a-foundations:00|Compare|Permission|Obligation|Reparation after violation|Permission, duty and the consequence of breach are different normative relations.|
M04:02|Flow|Restricted English syntax|Explicit variables and rules|Executable interpretation|Controlled English reduces freedom to improve inspectability.|
P-02-literature:02|Compare|Statutory logic program|Source-linked rule authoring|Observed collaboration practice|A formal language and evidence that people can use it answer different questions.|
M04:03|Branch|Default value|Applicable exception changes it|Competing exceptions need treatment|Catala makes default and exception structure part of the program.|
P-01a-language-lesson:02|Branch|General financial assessment|Named exception or qualification|Explanation of the selected result|An explanation should show why the default or exception was selected.|
M04:04|Flow|Rule content|Authority, jurisdiction and time|Applicable contextualized rule|LegalRuleML identifies context that a bare formula does not express.|
M04:05|Flow|Parties hold resources|Permitted transition transfers them|New contractual state|Stipula models contracts through state and controlled resource movement.|
P-01a-language-lesson:03|Flow|Consent granted|Consent withdrawn|A later action sees the new state|A consent history is a state problem, not a permanent client flag.|
M04:06|Branch|Deposit held in escrow|Successful condition: transfer|Alternative condition: refund|The escrow example separates authorized paths through the same resource state.|For a synthetic deposit of 100 units, a complete refund and a complete transfer cannot both spend the same held deposit. Follow one transition at a time and check the remaining balance. This illustrates the resource argument; the local contract's permitted transitions determine when either path can occur.
M04:07|Flow|Stated contract property|Verification under its restrictions|Result for the modeled contract|A contract proof inherits the model's expressiveness and assumptions.|
P-01a-language-lesson:04|Flow|Consent-state property|Java model and assumptions|Verification obligation|A Java verification model must preserve the event meaning it is meant to check.|
P-02-literature:05|Compare|Published theorem|Tool's supported fragment|Bank workflow to be modeled|The theorem's restrictions must survive the proposed transfer.|
P-02b-contract-evolution:00|Flow|Original contract state|Adopted amendment relation|Resource and duty consequences|Amendment changes more than the text of a condition.|
M04:08|Compare|Permission to act|Observed action|Consequences of violation|A normative model can record an action that was not permitted.|
P-02-literature:04|Compare|No proof of a fact|Explicit negative fact|Conflict between authorities|Different normative backends distinguish absence and negation differently.|
M04:09|Flow|Decision-table conditions|Declared hit policy|One specified result|A table needs an explicit rule for multiple matching rows.|If two rows match the same client, a first-match policy and a collect policy compute different outputs. Visual neatness does not choose between them. The bank must adopt the intended meaning before the table becomes an interchangeable backend.
P-02-literature:08|Compare|Open-source implementation|Interchange specification|Approved bank dependency|Availability, interoperability and adoption are separate questions.|
M04:10|Flow|Language-model formalization|Solver evaluates that formula|Answer conditional on translation|A solver can reason correctly about an incorrectly translated question.|
P-02-literature:07|Branch|Natural-language task|Supplied facts and formal resources|Automatically produced translation|The information supplied to a benchmark limits what its success establishes.|
M04:11|Cycle|Source meaning proposed|Translate back and compare|Repair the identified discrepancy|Roundtrip checks can expose loss, but can also repeat a shared omission.|
M04:12|Flow|Operative sentence|Distant definition or footnote|Qualified meaning|The supporting span can lie beyond the nearest sentence.|
M04:13|Compare|Exact threshold equality|Leap-day boundary|Contradictory requirements|Boundary cases test different sources of failure.|
P-02-literature:03|Flow|Declared date convention|Generated boundary case|Observed discrepancy|Date semantics needs explicit calendar assumptions.|For a synthetic anniversary beginning on 29 February, a non-leap year forces a policy choice. February 28, March 1 and rejection are distinct outcomes. A library default cannot establish which convention the adopted requirement uses.
P-02-literature:06|Flow|Norms and process model|Specified compliance question|Result under expressiveness limits|Clause consistency and compliance of a process are different analyses.|
M04:14|Flow|One supported decision fragment|One bounded event profile|Measured additional capabilities|The first implementation gives each borrowed mechanism a testable purpose.|
M05:00|Branch|Does cashback meet the exception?|It reduces the identified fee|It is a separate benefit|Search explores consequential readings of the same facts.|
P-03-product:08|Flow|Retained source passage|Proposed rule and assumptions|Draft requiring review|A drafting service proposes an interpretation together with its dependencies.|
M05:01|Flow|Facts and legally relevant factors|Theory explaining their relevance|Outcome and rival explanation|A legal theory explains why the factors matter.|
M05:02|Compare|Earlier case: same relevant factor|Present case: changed exception|Reason to distinguish the cases|Case-based reasoning needs reasons for similarity and difference.|Two promotions can both involve cash yet differ because only one reduces an identified charge. The similarity in payment form does not settle the exception. A useful comparison isolates the relationship that the legal reading treats as decisive.
M05:03|Cycle|Construct a candidate theory|Test it against cases|Revise the theory's structure|AGATHA makes rival theory construction explicit.|
M05:04|Branch|Argument for the discount reading|Attack on a factual premise|Attack on the inference|An objection can challenge the evidence or the step from evidence to conclusion.|An invoice may establish that a fee exists without establishing that a later payment reduces it. One objection disputes the invoice's authenticity; another accepts the invoice but disputes the inference. The workbench should preserve the distinction because the remedies differ.
M05:05|Flow|Proposition requiring support|Applicable burden and evidence|Accepted or unresolved conclusion|A burden of proof concerns what support is sufficient for a proposition.|
M05:06|Compare|Component-based reading|Whole-offer reading|Unexplored family retained|Search breadth concerns distinct meanings, not paraphrase count.|
M05:07|Cycle|Choose a candidate to investigate|Observe an informative result|Update search priority|A search reward directs computation; its definition determines what is favored.|
M05:08|Branch|Two readings disagree on one relationship|Obtain the fee agreement|Ask another general confidence question|A targeted document request can separate readings that another vote cannot.|
M05:09|Compare|Several phrasings, one meaning|Two consequential meanings|One shared unsupported meaning|Linguistic variety and uncertainty about meaning are different quantities.|
M05:10|Flow|Adjacent project's function|Explicit local assumptions|Bounded adapter check|Reuse must name a concrete capability and the changed context.|
P-04-prototype:03|Compare|ResearchAssistant: source processing|MathDevMCP: scoped mathematics|DynareMCP: bounded investigations|Adjacent tools contribute different capabilities, each requiring local validation.|
M06:00|Flow|Independent proposals|Investigate consequential discrepancies|Report supported and unresolved results|The ensemble's purpose is to investigate, not merely count votes.|
M06:01|Branch|Common failure probability 0.02|All members wrong on that event|Otherwise residual error 0.1 each|The common failure creates dependence between members.|In this synthetic model, every member has error probability 0.118. Holding that probability fixed makes the independence comparison meaningful. Adding members reduces the residual joint-failure term, while the shared-failure contribution stays at 0.02.
M06:02|Compare|Source inventory reader|Alternative-meaning reader|Formal and scenario critic|Complementary responsibilities create opportunities to notice different defects.|
M06:03|Flow|Official document bytes|Required definitions and dependencies|Declared interpretation perimeter|The investigation first establishes what material its answer relies on.|
M06:04|Branch|Same retained source packet|Reader A's frozen proposal|Reader B's frozen proposal|Freeze initial readings before showing the preferred answer.|
M06:05|Compare|Different source versions|Different classifications|Different executable outcomes|A discrepancy needs a classification before it needs a remedy.|
M06:06|Flow|Root issue: missing definition|Child inquiry: retrieve its source|Both retain the root's action count|Creating a child issue must not create a fresh budget.|
M06:07|Compare|Processing stopped|Meaning still unresolved|Release remains blocked|Completion of processing is not resolution of the legal question.|
M06:08|Branch|What evidence is missing?|Source question: retrieve authority|Encoding question: replay a witness|The remedy must be capable of answering the actual question.|
M06:09|Compare|Missing dependency needs a source|Unknown fact needs evidence|Conflicting readings need adjudication|Different discrepancies have different closure requirements.|
M06:10|Cycle|Ask whether cashback is a discount|Discover several benefit components|Reframe the subject of assessment|A useful investigation can correct its own initial question.|
M06:11|Branch|One disputed definition|Candidate A depends on it|Candidate B depends on it|Shared causes should remain shared in the investigation graph.|
M06:12|Flow|Check remaining action capacity|Reserve one action atomically|Dispatch only the reserved action|A budget controls external work at the dispatch boundary.|If eleven actions have been issued under a cap of twelve, two simultaneous requests compete for one remaining slot. Only one can obtain a reservation. Counting after dispatch would allow both requests to escape the cap.
M06:13|Cycle|Ask a resolving question|No new supported evidence|Stop under the no-progress rule|Repeated explanation without new evidence need not justify another round.|
M06:14|Flow|Eligible unresolved issues|Deterministic priority and tie-break|Next permitted resolving action|A fixed scheduler makes the first controller's choices reproducible.|
M06:15|Cycle|Validate proposed action|Reserve, dispatch and inspect result|Update issue and affected checks|The controller changes state through validated operations.|
M06:16|Flow|Finite dispatch budget|Each dispatch consumes a slot|Bounded automatic dispatches|The termination argument depends on counting every external dispatch.|A finite action count alone does not stop a worker stuck inside one call. A wall-clock deadline and an independently enforced timeout are also needed for a bounded-duration service. The proof of a finite count and the engineering mechanism for stopping a call concern different quantities.
M06:17|Flow|Action reserved and sent|Worker loses its lease|Late result checked against fence|Recovery must not grant a stale worker current authority.|
M06:18|Flow|Identify an omitted disjunct|Revise the candidate with support|Rerun dependent comparisons and cases|A repair changes both the candidate and the evidence needed for it.|
M06:19|Compare|Scheduling priority|Evidence completeness|Calibrated error probability|A useful priority score is not automatically a probability.|
M06:20|Flow|Product-type route omitted|Named case g02 fails|Supplied repair restores the route|The scripted omission case tests an encoding repair.|
M06:21|Cycle|Cashback classification disputed|Permitted inquiries add no authority|Budget ends with both readings retained|An unresolved ambiguity can survive a correctly executed investigation.|
M06:22|Branch|Terminal investigation report|Resolved issues and their repairs|Unresolved issues and next owners|A complete report preserves both successful work and remaining uncertainty.|
M06:23|Compare|Every candidate misses a footnote|Every formula agrees|Independent inventory exposes omission|Unanimity is compatible with a shared missing obligation.|
M06:24|Branch|Unknown regulatory classification|Bank pauses the affected offer|Legal question remains open|An operational precaution does not settle the legal interpretation.|
M06:25|Flow|Scripted adverse condition|Required controller response|Retained acceptance evidence|Acceptance scenarios test specific ways the controller could hide failure.|
M07:00|Flow|Accepted interpretation and domain|Reference semantics|Java behavior and trace|Verification starts from the complete accepted specification.|
P-03-product:02|Flow|Source-linked definition|Typed RuleIR expression|Named, narrowly scoped result|An executable rule keeps its source and interpretation context.|
P-03a-rule-contract:00|Compare|Money plus money|Money compared with money|Money plus date: rejected|The grammar permits only operators with defined type behavior.|
M07:01|Flow|Record valid on Monday|Correction first recorded Wednesday|Replay selects a knowledge cutoff|A fact has both a validity period and a recording history.|
P-03a-rule-contract:01|Compare|Matching admissible records|Disagreeing admissible records|A superseded record|Evidence normalization determines which values reach the evaluator.|
M07:02|Flow|100 cents multiplied by 1|Divide by denominator 3|Remainder 1: inexact scale|Exact money arithmetic exposes a required rounding decision.|The quotient is 33 cents with one cent left in the numerator calculation: 100 = 3 times 33 + 1. Returning 33 cents would introduce a rounding choice. The present exact-scaling operation reports an error until a reviewed policy supplies that choice outside this operation.
M07:03|Flow|Static dependency conflicts|Scope of the selected rule|Body evaluation if in scope|Evaluation order is part of the specified behavior.|
P-03a-rule-contract:02|Branch|Evaluate all exception guards|Two true guards: conflict|One true, others false: select it|Array order does not choose a legal priority.|Even when two matching exceptions propose the same value, the current contract reports a conflict. The result records that the rule's exception selection is unresolved. Silently returning the shared value would hide that specified distinction.
M07:04|Flow|Malformed transport input|Valid JSON, invalid semantics|Valid request, explicit result|Failure at different boundaries produces different evidence.|
M07:05|Compare|Separately written evaluator|Separately frozen scenarios|Independent legal source reading|Oracle independence must identify what was independently established.|
P-03c-storage-review:01|Compare|At HK$40m: threshold met|One cent below: route fails|Other route can still establish result|Boundary cases reveal the intended comparison operator.|
M07:06|Flow|Valid rule with omitted exception|Case activating that exception|Check detects changed meaning|A semantic mutation should remain executable enough to test meaning.|
P-04-prototype:05|Compare|Change only the category|Change only the consent order|Change only the exception|Paired scenarios expose the condition responsible for a change.|
M07:07|Flow|Check domain has a model|Search for different results|Decode and replay the witness|An inconsistent domain cannot support a useful equivalence conclusion.|A domain requiring an amount to exceed 100 and also be at most 100 has no admissible input. Finding no difference under those constraints says nothing about the two rules. The domain check must detect the contradiction before interpreting the comparison.
M07:08|Compare|Raise a known threshold input|Add an unrelated record|Add a conflicting required record|A property test needs a domain in which the proposed relation is valid.|
P-03d-java-delivery:01|Compare|SPI-Demo1's limited operators|Full RuleIR runtime|Different API and evidence sets|The early compiler example and the later runtime have distinct scopes.|
P-03d-java-delivery:02|Flow|Exact dated Snapshot|SPI-Demo1 evaluation|Tagged result and disposition|The earlier Java interface illustrates the input and output boundary.|
P-03d-java-delivery:03|Flow|Typed comparison in RuleIR|BigInteger comparison in Java|Same inclusive integer ordering|The monetary comparison preserves meaning only if the input mapping preserves units.|
P-03d-java-delivery:04|Flow|Compile source and runtime|Verify the exact JAR|Call it from a separate host|The demonstration crosses the actual Java library boundary.|
M07:09|Flow|Generated class binds bundle bytes|String or Map entry point|Immutable semantic result|The current generated policy delegates to the verified runtime.|
M07:10|Branch|A decision returns true|Which nodes were evaluated?|Which evidence supports them?|Equal Boolean results can still have unequal explanations.|
M07:11|Flow|Duty opens under version A|Source later changes to B|Existing duty retains A pending policy|Amending the source does not automatically migrate an open obligation.|
P-03-product:04|Flow|State before event|Attributed event under version v|State after event|An event transition describes ordered changes to the recorded arrangement.|
P-03b-event-contract:00|Compare|One microsecond before deadline|Exactly at excluded deadline|No record, incomplete window|Timing and observation completeness determine different duty outcomes.|Under this profile, the first performance is timely and the second is late. In the third case, a missing record cannot yet establish breach: the observation window may simply be incomplete. The three cases require distinct results even at the same assessment time.
M07:12|Flow|Build names exact JAR|Verification names that build|Release approval names final manifest|External manifests avoid circular content identities.|
M07:13|Flow|Read consent version 7|Withdrawal creates version 8|Commit rejects stale version 7|A correct snapshot decision can be stale before the transaction commits.|
P-03d-java-delivery:05|Branch|Exposure initially HK$8m|Order A adds HK$1.5m|Order B adds HK$1.5m|Two individually acceptable reads can jointly exceed a HK$10m limit.|Each order sees HK$9.5 million when it ignores the other reservation. Together they produce HK$11 million. An atomic reservation or equivalent transaction protocol must prevent both from committing against the same unreserved balance.
M07:14|Compare|Accepted meaning and fact definitions|Evidence for exact executable bytes|Operational handling of uncertainty|The verification dossier supports a concrete release decision.|
P-03-product:00|Compare|Compliance interprets|Engineering implements|Operations acts and retains evidence|The workbench gives different participants views of the same reviewed meaning.|
P-03-product:07|Flow|Validate the restricted expression|Run its defined semantics|Reject unsupported constructs|A bounded language makes its supported behavior inspectable.|
P-03c-storage-review:00|Flow|Retain original source bytes|Bind interpretation to exact spans|Approve a particular bundle hash|Source identity and review identity must remain connected.|
P-04-prototype:02|Flow|Reference semantics|Java and review workflow|Evaluation and integration|The original work packages explain the order of engineering dependencies.|
P-03d-java-delivery:06|Flow|Reviewed source and rule|Tested Java package|Controlled release decision|A release contains evidence of meaning, behavior and authority.|
P-05-evidence:01|Compare|Fixture states expected behavior|Executed check observes behavior|Legal review justifies the expectation|A fixture file alone is not a passing test or an adjudicated interpretation.|
P-03c-storage-review:02|Flow|Authenticated request|Validated state transition|Durable response and evidence|The authoring API is separate from transaction-time Java execution.|
M08:00|Flow|Existing source and RuleIR services|Interpretation investigation|Existing review and release controls|The extension adds investigation at a defined product boundary.|
M08:01|Compare|Generated explanation|Validated candidate record|Authenticated decision|Prose describing approval cannot create approval.|
M08:02|Flow|Immutable run policy|Counters and absolute deadline|Terminal status with remaining uncertainty|A run's bounds remain tied to the configuration under which it began.|
M08:03|Branch|Two candidates share one formula|Different definition assumption|Different source commitment|Formal deduplication must preserve interpretive differences.|
M08:04|Flow|Issue names missing evidence|Action asks a bounded question|Validated evidence permits closure|Transport success alone cannot resolve an issue.|
M08:05|Branch|Previously missed footnote found|Official bytes unchanged|Extraction and coverage need revision|An extraction correction can invalidate review without a regulatory amendment.|
M08:06|Flow|Lock and check remaining budget|Insert action and increment count|Commit reservation and outbox|Coupled accounting changes belong in one transaction.|
M08:07|Flow|Create bounded investigation|Inspect persistent job and issues|Retrieve complete terminal report|The API preserves an inspectable investigation through asynchronous work.|
M08:08|Compare|Proposed reading|Strongest supported alternative|Case where their consequences differ|A review screen should make the decisive difference visible.|
M08:09|Flow|Typed permitted task|Narrow provider adapter|Validated response and usage record|A model adapter has proposal authority, not release authority.|
M08:10|Branch|Untrusted source text says 'approve'|Read it as document content|Server keeps approval permissions|Source instructions cannot grant tool or reviewer authority.|A malicious attachment may contain a sentence asking the system to approve its own interpretation. That sentence is evidence to inspect, not an authenticated review. The server must reject an approval operation regardless of how persuasively the document requests it.
M08:11|Flow|E01–E09 scripted increment|E10–E12 providers and evaluation|E14 bank integration|Implemented engineering and outstanding empirical and deployment work remain distinct.|
M08:12|Compare|Omission repaired|Ambiguity persists|Stale approval rejected|Whole-cycle scenarios test different legitimate outcomes.|
M08:13|Flow|Fresh scripted investigation|Complete inspectable report|Independent live-model study still needed|The vertical slice demonstrates the controller's specified behavior.|
M09:00|Compare|Working controller|Useful interpretation method|Acceptable bank process|Engineering, empirical and deployment questions require different evidence.|
P-04-prototype:00|Compare|SPI decision and consent|Tokenisation amendment|Marketing exception|The initial source families expose different failure mechanisms.|
M09:01|Branch|One legal interpretation|22 selected scenarios|729 formula assignments|Many executions of one formula do not create many independent interpretations.|
M09:02|Branch|Retained source packet|Reviewer A's initial judgment|Reviewer B's initial judgment|Reference construction precedes exposure to the candidate answer.|
M09:03|Compare|Development circular family|Held-out family or amendment chain|Incomplete-packet controls|A useful corpus tests transfer and recognition of missing evidence.|
P-05-evidence:00|Compare|Threshold and ownership cases|Consent and category cases|Source amendment and actor cases|The fifteen design scenarios cover different substantive questions.|
M09:04|Flow|One proposal with deterministic checks|Repeated or diverse proposals|Targeted investigation at equal resources|The baseline ladder separates the contribution of each added mechanism.|
P-04-prototype:04|Compare|Manual review process|Hand-authored workbench|Model-assisted workbench|The workflow study counts human preparation and review in every condition.|
M09:05|Branch|100 eligible questions|40 resolved, one wrongly|60 escalated or unresolved|Selective risk and useful coverage need separate denominators.|In this synthetic illustration, the error rate among resolved questions is 1/40, or 2.5 percent. The fraction resolved is 40 percent; correctly resolved coverage is 39 percent if every other resolved result meets the reference standard. Reporting only one error in 100 would hide the abstention policy's effect.
M09:06|Compare|Wrongly permit prohibited offer|Wrongly prohibit permissible offer|Miss an unresolved material question|Error direction and severity must remain visible beside average accuracy.|
M09:07|Flow|100 independent trials|Zero observed errors|95% upper bound about 2.95%|A finite perfect sample does not imply zero population risk.|
M09:08|Compare|Calibrated average probability|Ability to rank risky cases|Performance under a new source family|Calibration, discrimination and transfer are different properties.|
M09:09|Flow|Separate calibration scores|Choose corrected order statistic|Return all labels below threshold|Conformal sets concern a fixed prediction problem under exchangeability.|With four calibration cases and a 90 percent target, the required rank is five. The construction therefore uses an infinite threshold and can return the entire label space. This is the honest consequence of the small sample, rather than evidence that a narrow legal answer has 90 percent reliability.
M09:10|Flow|Generate an alternative|Retain and investigate it|Represent its disposition in the report|Stage-by-stage measurement locates where an interpretation was lost.|
M09:11|Branch|Reviewer sees a plausible wrong answer|Inspects source and objection|Accepts the answer without inspection|Usability evaluation should examine automation bias in consequential cases.|
P-04-prototype:06|Flow|Initial cost K|Savings M minus A per change|Break-even after K/(M−A) changes|The planning relation requires positive savings on comparable changes.|For synthetic costs K = 100,000, M = 2,000 and A = 1,500 in the same currency, the break-even count is 200 comparable changes. If assisted cost rises to 2,100, this labor-saving calculation has no positive break-even point. Avoided errors would require separate evidence and valuation.
M09:12|Flow|Check severe errors and integrity|Compare viable methods with uncertainty|Choose the next justified action|A favorable average cannot override a predeclared severe-error veto.|
M10:00|Compare|Meaning owner|Data and engineering owners|Release and business owners|Responsibility must identify the decision each person is authorised to make.|
M10:01|Branch|One-benefit incentive-control pilot|Supported component and product|Mixed or unsupported offer: review|A narrow perimeter must be enforced in the input and workflow.|
P-04-prototype:01|Flow|Agreed business scope|Available qualified review capacity|Feasible engineering and evaluation work|Staffing assumptions constrain the scope that can responsibly be completed.|
M10:02|Compare|Regulatory interpretation|Temporary bank precaution|Outstanding legal question|A conservative bank policy must retain its own authority and rationale.|
M10:03|Flow|Existing process decides|Shadow control records a result|Independent review investigates disagreement|Shadow operation gathers evidence under an authorised study.|
M10:04|Flow|New source or changed attachment|Dependency impact assessment|Successor interpretation and review|Source monitoring starts a new review; it does not silently replace an active rule.|
P-01-problem:03|Compare|Product-provider responsibility|Distributor responsibility|Request-triggered requirement|Actor and trigger distinctions survive a tokenisation rule change.|
P-03-product:09|Flow|Source edition changes|Affected meanings and data mappings|Fresh exact-version release evidence|An amendment's impact follows dependencies, not only changed numbers.|
M10:05|Branch|Synthetic new condition begins|New offers after commencement|Earlier commitments need transition analysis|An amendment may raise a separate question about existing arrangements.|
